gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
HNRNPR,209.54,6010.800723000127,0.6324793199021628,True
ZNF436,240.12,5825.227803941187,0.6438258756379587,True
TCEA3,150.54,5835.0075807917465,0.6432279070136504,True
ASAP3,264.5,5487.600118092138,0.664469573947286,True
E2F2,205.52,5316.381335148774,0.6749384692663544,True
ID3,154.66,5837.9874739747365,0.6430457062687412,True
MDS2,207.08,5621.824154884934,0.6562626624955712,True
RPL11,180.18,5822.596737708286,0.6439867479236756,True
ELOA-AS1,387.04,5277.7682930261235,0.6772994012212703,True
ELOA,331.4,5674.921816208691,0.6530160919468853,True
PITHD1,277.86,5695.571051650403,0.6517535278721857,True
LYPLA2,301.14,5567.290511223666,0.6595970338597575,True
GALE,340.58,5636.04477851881,0.6553931654834112,True
HMGCL,365.92,5402.398863835066,0.6696790667175135,True
FUCA1,223.56,5420.262496348386,0.6685868238246172,True
CNR2,161.66,5602.270066551177,0.6574582655731472,True
PNRC2,251.34,5790.916190478676,0.6459238037004784,True
SRSF10,188.56,6079.458801718305,0.6282813328206478,True
IFNLR1,188.86,5774.030468938831,0.6469562538099156,True
STPG1,261.72,5767.300331017436,0.647367757198567,True
NIPAL3,186.88,6231.805189721874,0.6189663595400872,True
NCMAP-DT,259.9,5765.18429799042,0.6474971386126309,True
RCAN3,149.0,6074.169118255717,0.6286047619531815,True
SRRM1,189.4,6313.875110343321,0.6139483270960978,True
CLIC4,237.6,5486.275319207626,0.6645505766305334,True
RUNX3,86.88,6402.554381819933,0.6085261765930949,True
SYF2,296.58,5888.315443338751,0.6399684840514368,True
ENSG00000284657,238.48,5784.699228052415,0.6463039298041935,True
RSRP1,172.9,5838.622035685108,0.6430069070201707,True
RHD,131.22,5311.965156699688,0.675208489348842,True
TMEM50A,276.22,5893.587028122565,0.6396461615333191,True
RHCE,96.16,5567.326151641954,0.6595948546840749,True
MACO1,298.52,5579.978613589555,0.6588212403797276,True
LDLRAP1,192.72,5598.009556871327,0.6577187675407321,True
MAN1C1,179.08,5995.0746681311575,0.6334408640702441,True
ENSG00000233478,208.46,6011.96839293694,0.6324079246140666,True
SELENON,272.94,5564.980222541389,0.659738292721407,True
MTFR1L,380.32,5708.435201140229,0.6509669702757426,True
AUNIP,232.34,5597.58469677249,0.6577447449237243,True
PAQR7,218.12,5744.872342882723,0.6487390802272869,True
STMN1,152.58,5843.13891459932,0.6427307297707539,True
PAFAH2,203.68,6123.894723836153,0.6255643702943349,True
PDIK1L,186.52,5716.438227491803,0.6504776381845427,True
CNKSR1,219.1,5705.080572859434,0.6511720835915968,True
CEP85,203.9,6120.522824992674,0.6257705395907873,True
SH3BGRL3,326.28,5347.465535916048,0.6730378761286427,True
UBXN11,272.96,5390.868008092409,0.6703841022260832,True
CD52,168.74,5526.4297969618665,0.6620953960891551,True
CRYBG2,298.82,5317.491034562595,0.6748706184920455,True
ZNF683,92.36,5755.624753869096,0.6480816414632165,True
DHDDS-AS1,328.32,5428.086850406466,0.6681084163615735,True
DHDDS,344.5,5591.3519365474485,0.6581258369582728,True
HMGN2,268.46,5560.362597089377,0.6600206299547919,True
RPS6KA1,229.08,6014.787108208144,0.6322355788316635,True
ARID1A,247.08,5606.0249511168795,0.6572286792346757,True
PIGV,218.12,5903.595454335916,0.6390342125138542,True
