gene	n_merged_intervals	total_band_width	frac_holdouts_outside
E2F2	1	21530.390375535026	0.0
ID3	1	3820.065547380406	0.0
MDS2	1	309.7607498880956	0.0
RPL11	1	62320.951934872326	0.0
ELOA-AS1	1	180.89665477349365	0.0
ELOA	1	2199.524483091522	0.0
PITHD1	1	10010.530764521165	0.0
LYPLA2	1	8731.967571928595	0.0
GALE	1	1727.5979234780875	0.0
HMGCL	1	5796.907372042173	0.0
FUCA1	1	9770.082363341997	0.0
CNR2	1	1657.3754754693816	0.0
PNRC2	2	6001.031188635869	0.0
SRSF10	1	7900.304019958298	0.0
IFNLR1	1	643.2770230312457	0.0
STPG1	1	628.9923326210668	0.0
NIPAL3	1	3989.4257232780888	0.0
NCMAP-DT	1	153.2474276946377	0.0
RCAN3	1	8374.159502912687	0.0
SRRM1	1	8945.150443295652	0.0
CLIC4	1	8222.474362057435	0.0
RUNX3	1	79883.53971842065	0.0
SYF2	1	4739.224603250033	0.0
ENSG00000284657	1	201.58180648628286	0.0
RSRP1	1	27256.01336487226	0.0
RHD	1	8317.680938849137	0.0
TMEM50A	1	14405.079131284987	0.0
RHCE	1	12580.751235496225	0.0
MACO1	1	8235.465691916943	0.0
LDLRAP1	1	17757.929592598015	0.0
MAN1C1	1	1966.4872826185897	0.0
ENSG00000233478	1	276.176198219377	0.0
SELENON	1	5660.480253207483	0.0
MTFR1L	1	2973.8627331948474	0.0
AUNIP	1	556.6915438792652	0.0
PAQR7	1	959.2149500417265	0.0
STMN1	3	66980.37451948057	0.0
PAFAH2	2	5735.808191396805	0.0
PDIK1L	1	664.2523602171419	0.0
CNKSR1	1	531.6121821725847	0.0
CEP85	1	1543.3929332510359	0.0
SH3BGRL3	1	130420.8743464266	0.0
UBXN11	1	13292.257406288989	0.0
CD52	2	21635.49033809454	0.0
CRYBG2	1	419.0333489430163	0.0
ZNF683	1	9627.669415661598	0.0
DHDDS-AS1	1	195.310980525798	0.0
DHDDS	1	2243.240280343237	0.0
HMGN2	1	34333.14540929897	0.0
RPS6KA1	1	73584.87072629173	0.0
ARID1A	1	16575.556994109455	0.0
PIGV	1	2083.0644173480837	0.0
ZDHHC18	1	74025.0170082645	0.0
ENSG00000304862	1	592.7014239173137	0.040000000000000036
SFN	1	1151.3345772069413	0.0
GPN2	1	2766.096631788705	0.0
ENSG00000289554	1	263.3281026076997	0.0
GPATCH3	1	1458.3935056854898	0.0
NUDC	1	20293.51451138714	0.020000000000000018
TRNP1	1	408.5301967794941	0.0
SLC9A1	1	11227.845233040103	0.0
WDTC1	1	21510.03114045419	0.0
TMEM222	1	6790.798548426463	0.0
ENSG00000304055	1	1576.9663671949727	0.0
SYTL1	1	18409.873821708723	0.0
MAP3K6	1	1812.020426554702	0.0
FCN3	1	2046.1251693373604	0.0
WASF2	1	29142.08677560475	0.0
AHDC1	1	2862.4227061368183	0.0
FGR	1	178683.7801857469	0.0
IFI6	1	60018.28645151654	0.0
FAM76A	1	1048.9758807824398	0.0
STX12	1	5172.611486457311	0.0
PPP1R8	1	2496.7700544267436	0.0
THEMIS2	1	94443.36625445812	0.0
RPA2	1	6072.138558726142	0.0
SMPDL3B	1	406.11750583492125	0.0
XKR8	1	10171.787457659344	0.0
EYA3	1	3888.575543789617	0.0
ENSG00000289576	1	426.31961286689796	0.0
PTAFR	1	49177.10605235134	0.0
DNAJC8	1	5341.460781789097	0.0
ATP5IF1	1	4194.386377060098	0.0
ENSG00000270605	1	709.8732213264568	0.0
SESN2	1	30491.509234743433	0.0
MED18	1	2712.8195762640357	0.0
PHACTR4	1	2956.0057785660424	0.0
RCC1	1	5401.149135606361	0.0
SNHG3	1	5215.208316910555	0.0
SNORA73B	1	176.397451428978	0.0
TRNAU1AP	1	1628.8887433890434	0.0
SNHG12	1	3711.3439331748305	0.0
TAF12	1	2901.477663744565	0.0
GMEB1	1	1940.441988338678	0.0
YTHDF2	1	4134.499593165577	0.0
EPB41	1	68109.87453095822	0.0
SRSF4	1	13006.150929318586	0.0
MECR	1	808.7260923108577	0.0
MATN1-AS1	1	899.5736195275497	0.0
LAPTM5	1	181712.19626427485	0.0
ENSG00000309098	1	2947.8506217818694	0.0
SDC3	1	5747.183988342134	0.0
PUM1	1	4448.706043379587	0.0
SNRNP40	1	3922.776172288328	0.0
ZCCHC17	1	2087.88115548371	0.0
FABP3	1	6499.399041979643	0.0
SERINC2	1	4454.475710717366	0.0
TINAGL1	1	1630.8288636606717	0.0
PEF1	1	9745.051531034758	0.0
COL16A1	1	269.8598598449911	0.0
ADGRB2	2	3516.437459717104	0.0
SPOCD1	1	3608.4156226502796	0.0
ENSG00000269967	1	314.06687909658643	0.0
PTP4A2	2	36094.50904558661	0.0
KHDRBS1	1	11932.856892394286	0.0
TMEM39B	1	1854.9370159123628	0.0
KPNA6	1	6519.5924879919085	0.0
TXLNA	1	5958.02579843865	0.0
CCDC28B	1	1061.9014774496309	0.0
IQCC	1	287.87813533063223	0.0
TMEM234	1	1639.829874685197	0.0
EIF3I	1	10360.222685063447	0.0
FAM167B	2	1359.4445287705992	0.0
LCK	1	35258.34988391225	0.0
