gene,mean_n_neighbors,mean_neighbor_popularity,median_neighbor_popularity,specificity
CCDC92,248.4,5833.156859028125,5636.01,0.6433410663999923
RPS18,174.52,5833.177354286766,5716.05,0.6433398132505799
MUC20-OT1,212.16,5833.195788068507,5688.78,0.6433386861468354
GABBR1,190.16,5833.199246185517,5801.16,0.6433384747058688
GGA1,315.64,5833.205522522354,5718.45,0.6433380909494129
RMC1,355.06,5833.415991677059,5745.52,0.6433252221536497
SACM1L,212.82,5833.445580419942,5520.97,0.6433234129978636
ATAD5,197.22,5833.537485128617,5600.42,0.6433177936332243
INIP,254.4,5833.578811110863,5656.15,0.6433152668229372
GNB4,157.56,5833.579902487968,5708.13,0.6433152000924507
ZNF558,197.82,5833.669687604807,5525.4,0.6433097103268232
ZNF22,230.14,5833.755627676466,5528.75,0.6433044556602588
HELLS,184.46,5833.7556665001475,5612.57,0.6433044532864477
TRAV14DV4,181.12,5833.758776538499,5642.93,0.6433042631281871
CHRM3-AS2,135.96,5833.791864304034,5599.4,0.643302240030325
TRAV29DV5,169.04,5833.873511201632,5618.29,0.6432972478629391
CEP70,245.04,5833.887340490342,5682.94,0.6432964022934673
SNHG5,147.52,5833.972452882791,5723.05,0.6432911982340085
FASTKD2,231.6,5834.004759588037,5545.32,0.6432892228928133
RNF6,193.48,5834.0580462426515,5648.96,0.6432859647665758
PPAT,208.72,5834.074097820607,5515.9,0.6432849833188257
ADNP-AS1,249.18,5834.191995746431,5628.34,0.6432777746410009
ENSG00000227292,147.94,5834.200359652476,5789.42,0.643277263243505
RSL1D1,277.52,5834.237899028652,5613.0,0.6432749679591163
TEC,213.6,5834.24018589795,5723.0,0.643274828132195
LINC02631,147.28,5834.308746991846,5791.28,0.6432706360750935
HYCC1,219.96,5834.3474240524365,5556.21,0.643268271228833
CCDC9,192.98,5834.454304866319,5796.22,0.6432617361744837
ADAM22,236.44,5834.46837225,5608.39,0.6432608760470804
TYROBP,241.86,5834.574025587188,5762.43,0.6432544160448066
SNRNP35,273.76,5834.820186363909,5793.41,0.6432393649425919
TRBV10-3,156.62,5834.951616708103,5628.98,0.6432313288469518
TCEA3,150.54,5835.0075807917465,5606.28,0.6432279070136504
TMEM245,204.3,5835.03530650434,5631.89,0.6432262117698355
ENSG00000294365,199.28,5835.049913251938,5780.23,0.6432253186638986
PRKCD,254.8,5835.054487071752,5744.62,0.64322503900509
RPL7L1,269.2,5835.087128476914,5530.55,0.6432230431992104
IVNS1ABP,168.74,5835.10453319624,5767.42,0.6432219790158216
RBSN,304.52,5835.12249110062,5609.06,0.6432208810088278
PRMT5-DT,149.24,5835.129437142431,5798.13,0.6432204563043453
WASHC2A,267.48,5835.171567923924,5643.37,0.6432178802859111
BNC2,136.98,5835.219250859198,5746.59,0.6432149647900216
ENSG00000304416,168.42,5835.226811798919,5788.13,0.6432145024886018
LEF1,131.28,5835.249621097548,5580.41,0.6432131078509601
CDKN1B,240.9,5835.284034031751,5611.16,0.6432110037278049
DHCR7,124.96,5835.328515539983,5780.71,0.6432082839779895
GPATCH11,223.62,5835.511221084478,5492.32,0.6431971127432297
NBPF20,279.82,5835.517551323833,5608.74,0.6431967256909916
LINC02731,229.64,5835.586281414421,5702.14,0.6431925233008609
RPP30,273.96,5835.5937760558245,5606.54,0.6431920650531443
FAM13A-AS1,172.34,5835.698208673027,5769.45,0.643185679689818
H3P6,160.1,5835.71287386284,5776.98,0.6431847830105264
RBM48,267.62,5835.718527441703,5654.02,0.6431844373315987
ENSG00000242324,219.28,5835.722001722165,5802.71,0.6431842249023438
DHRS11,226.32,5835.771218164399,5761.64,0.6431812156426537
ZNF486,181.44,5835.844652895985,5746.26,0.6431767255948648
PLCG1-AS1,168.08,5836.16122672765,5742.07,0.6431573692003882
SPOP,270.92,5836.168203517758,5772.87,0.643156942615851
ENSG00000305207,212.8,5836.194215538445,5797.11,0.6431553521529536
CD5L,147.18,5836.223445008141,5808.7,0.6431535649643447
BLTP3A,216.4,5836.353772031498,5607.48,0.6431455963294712
GVQW3,229.88,5836.35771755482,5525.47,0.6431453550868347
CRLF3,211.5,5836.362964307913,5702.82,0.64314503428261
HACD3,222.92,5836.376175787089,5563.91,0.6431442264881022
LINC00881,222.52,5836.406394212446,5771.3,0.6431423788314005
ENSG00000284642,193.48,5836.467217653827,5810.81,0.6431386598805364
ENSG00000233030,149.54,5836.474302708104,5778.45,0.6431382266763617
N6AMT1,242.08,5836.4794905184335,5529.26,0.643137909476097
TRAV26-1,181.1,5836.499184286193,5650.85,0.6431367053325471
CCAR1,204.84,5836.659590211145,5501.38,0.6431268975719263
DNAJC16,272.28,5836.688095797178,5555.87,0.6431251546440124
TAF12,281.04,5836.793465304298,5779.6,0.6431187119960686
TMEM184C,263.98,5836.812971103722,5754.8,0.6431175193455383
CEP192,214.62,5836.823649524317,5554.27,0.6431168664307969
CCDC124,265.22,5837.023690157242,5722.89,0.6431046352701166
ZNF451,212.8,5837.043960473453,5593.03,0.643103395874445
VPS53,274.74,5837.0574100462245,5684.04,0.6431025735220897
MRFAP1L1,219.04,5837.1470855436955,5647.29,0.6430970904589608
DDI2,224.92,5837.148469032236,5603.0,0.6430970058677936
TRBJ2-3,248.56,5837.246323951321,5660.8,0.6430910226871709
SOCS4,204.84,5837.306481423347,5541.56,0.643087344455925
LINC03034,176.18,5837.357050297275,5792.48,0.643084252503988
PPP1R14B,235.96,5837.438110479245,5701.17,0.6430792962103794
MAK16,259.38,5837.498112142599,5515.87,0.6430756275058025
CRIP2,135.48,5837.556065397504,5755.12,0.6430720840478444
NOXA1,194.0,5837.5848431262175,5733.92,0.6430703244802068
RTN2,168.16,5837.605693885104,5790.65,0.6430690495943072
POP5,261.72,5837.6586753886,5569.21,0.6430658101260409
CYP20A1,266.2,5837.755103472056,5507.99,0.6430599141869731
CCHCR1,264.68,5837.800032741262,5725.36,0.6430571670595376
YWHAQ,299.06,5837.826262487704,5584.01,0.6430555632841514
ENSG00000289351,130.96,5837.849088863223,5779.94,0.6430541676023709
DGCR5,150.48,5837.930109822237,5776.51,0.6430492137069864
ID3,154.66,5837.9874739747365,5738.31,0.6430457062687412
PTPN6,268.3,5838.142146368261,5749.84,0.6430362490756184
TAF1B,235.16,5838.175753413999,5510.28,0.6430341942272089
FAM111A-DT,286.24,5838.204323210037,5534.16,0.643032447373278
POLH,254.18,5838.21905442052,5557.43,0.6430315466572596
EIF4G1,259.06,5838.3347073004325,5690.58,0.6430244752491328
ENSG00000288803,221.36,5838.381275429174,5612.7,0.6430216279162841
ENSG00000272825,169.52,5838.413367146931,5794.88,0.643019665720151
DNASE1L1,263.1,5838.426621102682,5762.61,0.6430188553284817
PTTG1,129.96,5838.437308265438,5745.86,0.643018201879215
ENSG00000226471,272.72,5838.462158331239,5764.56,0.6430166824621681
MCM8,196.4,5838.473667898207,5637.35,0.6430159787283273
NFRKB,295.36,5838.528994579127,5661.16,0.6430125958679836
C2orf49-DT,259.38,5838.576317800429,5584.41,0.6430097023662227
ZNF420,256.4,5838.581756363211,5511.17,0.6430093698341051
RSRP1,172.9,5838.622035685108,5731.89,0.6430069070201707
ARID2,245.06,5838.6798605766035,5586.61,0.6430033714107855
SLC12A6,214.96,5838.774319455698,5726.86,0.6429975958755305
FXN,255.34,5838.941494163835,5625.91,0.6429873742486191
ZNRD2,257.66,5839.058570681382,5717.31,0.6429802157944737
ENSG00000280202,202.4,5839.102522141608,5582.17,0.6429775284535856
ZNF75D,230.88,5839.122809744308,5523.01,0.6429762880009595
OBSCN,141.26,5839.152180195118,5679.96,0.6429744921922887
ARMC12,154.26,5839.170228347261,5775.84,0.6429733886672417
SMARCA5,221.52,5839.270349681889,5534.85,0.6429672669103095
LRRK2,128.02,5839.3048227437,5818.22,0.642965159110749
CASP7,213.58,5839.373868167776,5557.48,0.6429609374400627
