gene,mean_train,max_train,uncov_k0.1,hin_rate_k0.1,n_intervals_k0.1
TNFAIP8L3,77.70155548838358,798.370542229125,0.2270207158865737,0.9,20
LIMS1,2020.749431205495,5450.61466190742,0.22702045201595478,1.0,13
ZBTB48,2247.318888122964,4973.488255118064,0.22699376691136686,0.96,14
TCIRG1,45631.723731436636,111569.93885841522,0.22695459233532278,0.98,11
PIK3C3,1270.8840718848346,2995.276480910257,0.22694710280854835,0.98,13
MINDY1,3671.2463798192643,13769.45092704331,0.22693838267735833,1.0,14
POLR2L,1430.9521152482735,4744.604436316509,0.2269297013905366,1.0,16
KAT8,2838.124329756262,8568.05298698687,0.22692576501111994,0.98,10
SLC35D2,585.9445064391251,1473.8029225476128,0.22681488247815518,0.98,10
PMPCA,1032.4522745573659,3059.859765287334,0.22679296928407944,1.0,12
PIH1D1,650.8906708591581,1635.061703536814,0.22679152626188082,1.0,6
THG1L,186.1959338528236,573.4166531042332,0.22677942300193776,0.96,13
ZNF467,6575.419347341907,30087.030043196464,0.22674854361464714,1.0,18
NUDT5,2687.1444100046588,17823.917496385555,0.2267434204613138,1.0,17
SFT2D1,1944.594020336563,4889.349641658481,0.22674065203741234,1.0,13
RRAGB,184.93133524979825,556.1522422711217,0.22673913085616593,0.98,10
ZXDA,48.588925127993555,284.5484700650594,0.22672881294127467,0.96,11
TUT1,633.0166211536754,1994.4241435837682,0.22670452303073751,1.0,13
SEMA4A,12469.517840741599,41722.101732745265,0.22669752088597617,0.98,13
LHX4,162.32261874853796,1358.9160808262914,0.22665705608410214,0.98,14
NLE1,245.79759648572556,917.9927152907219,0.2266165266843745,0.96,12
CPTP,1025.4940360170635,3689.817849440455,0.22660803093158433,0.98,13
MAPRE2,2433.5492011188117,10149.445353920393,0.2265995907152445,0.98,13
TPST1,1744.5860630208645,9663.79534508448,0.2265734597439082,0.98,15
GLRX,3254.7892417593216,14270.420941453296,0.22653995649541014,1.0,15
ZNF670,27.40363145418869,140.70648738525153,0.22646937715491067,0.96,10
CYTH1,10157.040226011204,26626.863640565414,0.22644854413544535,0.96,17
AUTS2,884.738845222892,8255.629690489153,0.2264281616252911,0.96,27
ENSG00000253214,76.74167382680076,465.8216965267622,0.22642690677623145,0.96,11
PLCB1,147.2954414570602,870.9398032586062,0.22641248618785126,0.98,18
ZNF574,475.7005879554544,1531.1339182074487,0.22639120904741994,1.0,15
TRAPPC9,1446.9814876399212,4425.31875982397,0.22636916087012493,0.96,11
NEK4,215.14889821661092,805.416321472747,0.22632214613504598,0.96,12
INO80,817.2762934899904,2598.939396902418,0.22631787573135287,0.98,16
CYP4F35P,70.05536487830746,506.6867171956998,0.22630429783031258,1.0,11
GOPC,357.63200051130804,1561.9259218933946,0.2262997754044388,0.96,18
MRPL10,1461.552939296304,5575.455107665722,0.2262761631933674,1.0,13
ENSG00000286760,29.180292841827804,128.01044549421718,0.22625275857123994,0.98,8
ZNF638,1622.6604326572062,4595.388648218005,0.22623153605689117,1.0,14
USO1,1001.5022172894329,3107.2192730280385,0.22623153058058976,0.98,11
TMEM8B,239.0337021037112,1170.9610544878312,0.22620774987562686,1.0,13
CHD3,7818.288325416731,27311.004974963525,0.2261981866824413,0.96,12
CERS5,1541.7905165082877,3165.90924029205,0.22617615860311746,0.98,11
CCDC9B,145.394573835284,668.0549469335713,0.22613876417993772,0.98,16
ENSG00000269981,1805.0898328618302,8146.753298395458,0.22613443078514395,1.0,15
ENSG00000293831,21.97711514959392,170.02520193123158,0.22608810258196288,0.9,7
PSEN2,211.28194850067618,780.9817450927274,0.22601471059623846,1.0,13
TMEM185A,263.56941719179434,647.2221880431272,0.2260137977115254,1.0,16
CCP110,431.39904579014694,1750.5126650001628,0.22600176238880776,1.0,17
ENSG00000293192,48.6828409667942,305.9650130045221,0.22599009856450636,1.0,7
CHD2,6153.069232393008,25018.115763891907,0.22596999598247813,0.98,12
ENSG00000291064,39.22986718375209,137.99990179120906,0.22593358418915943,1.0,6
MFSD14CP,897.1634975204587,2872.343968760654,0.22591953587238411,0.94,13
SLC22A1,228.5459220572471,1305.400305386343,0.22587762410489887,0.98,19
NCBP3,1563.3141966534658,3617.584721734284,0.22581336503315186,0.98,15
NSD3,2681.7114794186277,8905.422733434172,0.22580127753748958,1.0,10
NCAM1,562.2667708433949,3823.534219632692,0.22578510172093746,1.0,27
MTCH2,760.0088964001723,2572.374667762404,0.22578422460090586,1.0,14
ENSG00000242588,223.8715528009633,1120.9829679807692,0.22577978037499258,0.94,12
RIOX1,185.59790348668193,849.1951500133549,0.22567832151428635,0.98,12
LRP8,179.13841431737944,836.5430801365408,0.22566331889810265,0.98,13
ENSG00000289554,34.19109777641456,201.01403780560503,0.22565174199942573,0.98,13
PRXL2B,478.77949726974964,1877.4065685747207,0.2256285157658855,1.0,13
RASA4B,57.84218358040866,324.77875191445406,0.22562597405551343,0.98,11
SNX6,2130.4649100868533,6631.093677196835,0.22562569906413343,0.98,12
ENSG00000271862,67.67457127990463,306.8053345422511,0.22559696674401208,1.0,9
ENSG00000301477,17.929202124227356,144.30068207554092,0.22555144651788406,0.92,8
MEI1,691.8760015487488,2608.836930577742,0.22553104626194187,0.98,15
AP4S1,191.93688393012386,647.0664984570705,0.22550565239033804,1.0,12
CLEC2D,1840.9482647305513,8731.1934066866,0.22541525699859621,0.96,19
SIRT2,3701.26085078586,8592.329629874988,0.22538988736605692,1.0,12
RPL7AP30,42.420350773554595,278.2791500814033,0.22538887749357717,0.98,13
NIN,6567.664930593643,18560.75012712378,0.22538240800278342,1.0,8
NUAK2,3740.4327428379283,14229.134203280746,0.2253730275471134,0.98,18
CEACAM3,5492.94612209552,19348.185275952983,0.2253503976909278,0.96,17
MED14,1045.6746734163753,3369.563852718795,0.22533530993383732,0.98,14
LMO4,895.5166387396754,1818.1187480197348,0.2253017172535009,0.98,12
MED17,670.3922275004068,1871.0567855113663,0.2252562821425439,0.98,10
EIF1B,2456.5618500812566,6334.554306407705,0.22521292732928078,0.94,12
ACAD11,396.0227535251134,2095.0339072815855,0.2252080660043133,0.98,16
ENSG00000293323,27.05826359357165,189.03262558627284,0.22520593160103342,0.96,11
B4GAT1,51.700242290507646,263.1768038584562,0.2251750723719742,1.0,12
MMUT,375.2939266426337,1089.4480798618285,0.22516552718567528,0.98,13
NMUR1,585.1284210102682,4058.936623826243,0.22516378141128035,0.98,25
CLEC2L,39.223216921350485,331.0224776804324,0.2251544349709368,0.94,12
GPR107,2359.1335795395953,5830.906159587423,0.22514601112917476,1.0,14
PGRMC2,661.5264619075791,2217.182277271213,0.2251069397310086,1.0,11
DYRK4,290.80517378105657,1244.5868218045875,0.22509593275405537,1.0,18
SASH1,138.195023332633,850.4988962778682,0.22497330255139625,0.94,15
ITGB2,68095.56805217413,202351.07077456143,0.2249600829985694,1.0,15
KARS1,3431.2594167204225,9832.12923290886,0.2249527162513335,1.0,11
CEP250-AS1,47.375100714908896,159.21023348320043,0.22494505752589677,1.0,10
ENSG00000287642,72.96547571816691,655.5664944479425,0.22492811439491167,1.0,16
CICP27,114.44665138431635,718.9539279502535,0.2249008306472614,0.96,14
PEX11B,774.8325012528461,2527.012754615784,0.22482233728487422,1.0,12
MAP3K7,977.5792927777956,2821.4905041122665,0.22481697145389923,0.98,14
CREBL2,881.3264386748317,3102.016308401945,0.22480379832579578,0.96,15
TEX30,48.14588076928184,259.67747496828423,0.22479733811377645,0.96,18
NUTM2D,27.00592975244541,114.21683565327977,0.22477088736237616,1.0,4
KRAS,1825.2238632498124,5783.502454413757,0.2247428713100128,1.0,15
ENSG00000302420,1583.8298920700145,6700.538999673225,0.2247418607402777,0.96,23
CSNK1A1L,29.468455515377595,225.24227664394394,0.22473878993509278,1.0,10
HACD2,417.90562617574284,1693.0696592420095,0.22472260684796286,0.98,14
TNFRSF14-AS1,256.4899485405912,1061.0056259010712,0.22468208083458507,1.0,11
ASB6,1031.6320963429807,2481.886254066393,0.22466554360807922,0.98,10
RPGR,369.8194357275953,1566.2093660920425,0.2246634917694913,0.96,15
ARHGAP24,627.5758875337335,2270.3461810259278,0.22465949619624537,1.0,13
CDKL5,441.45252228188787,1437.082603860464,0.22459135894341886,0.96,14
ENSG00000233230,41.588162048229485,192.76577463249313,0.22458878025721518,0.98,7
ARPP19,2594.144994923996,6707.052895439865,0.22448338068759943,0.96,14
CFAP184,37.00533650693449,127.28817793379378,0.22446657706814677,1.0,8
PPP1R12C,5651.5490569624235,10174.33441795715,0.22444041347058008,1.0,15
TMX3,643.5742751345724,2692.15287370792,0.22441200354458668,0.94,15
LIM2-AS1,29.345705129572405,227.25890423698362,0.22440368270543876,0.92,12
ST6GALNAC4,2332.8288702148084,12343.547208754324,0.2243918636609905,0.98,17
NOTCH2NLC,133.94088799870622,548.0015259994008,0.2243879053841248,0.92,8
ADCK1,254.75503476602142,1002.3750321576042,0.22431648509390134,1.0,15
AASDHPPT,301.8108951381513,1042.3686187080223,0.22430044856244447,1.0,11
FXYD5,15035.044993102278,49123.69204549701,0.22429675919871128,0.98,15
SIT1,726.5878942903213,3984.973158215866,0.22418575835188348,0.98,23
NHERF1,9163.352892483936,23794.93158063064,0.22415222847723892,1.0,13
KLLN,73.13995082892275,446.71950991628705,0.22413967680370728,0.98,7
CLCF1,155.5455810608213,759.7912653901883,0.2241184281502815,0.94,14
PIGM,243.76781154993316,1081.4167667553572,0.22411552675673985,0.94,13
B4GALT5,8590.128612791561,29808.019409861197,0.22410729659032702,0.98,14
ZSWIM7,344.2610975571463,872.0753063904787,0.22407503859284983,1.0,10
TRAK1,1510.7185777679274,3791.557874409031,0.22407130936654251,0.98,12
