holdout,K,set_size,tuple_first5,genes_first10
20,1,195,"(120,)",PGD;MACF1;CTPS1;MYSM1;AK5;GTF2B;PDE4DIPP2;SLC39A1;UHMK1;GPA33
20,1,160,"(87,)",EXOSC10;LUZP1;LDLRAP1;SESN2;GNL2;PPIE;SRSF11;SSX2IP;SIKE1;LINC00623
20,1,156,"(630,)",NPHP4;RERE;ZMYM4;AGO3;PRKACB;ZNF644;BTBD8;POGZ;ASH1L;KHDC4
20,1,138,"(79,)",FAM76A;ZMYM6;CMPK1;MIER1;ZRANB2;RPL7P9;SLC35A3;AMY2B;PRPF38B;ZNF687
21,1,169,"(220,)",TNFRSF25;PLEKHG5;CNR2;IFNLR1;PDIK1L;LCK;MMACHC;PTGFR;PKN2;AMIGO1
21,1,136,"(565,)",KLHL17;STMN1;LITATS1;ST3GAL3;PTCH2;CD2;THEM4;PYHIN1;SLAMF6;SLAMF7
21,1,116,"(3,)",MMP23B;SLC2A5;FAM76A;SERBP1;CTH;LINC01781;ZNHIT6;EMBP1;H3-7;SLAMF9
21,1,113,"(238,)",EXOSC10-AS1;CROCC;IL12RB2;CELSR2;SORT1;RBM15;NBPF8;LGR6;PPP1R12B;SEPTIN7P13
21,1,102,"(216,)",WRAP73;ENSG00000287586;AKR7A3;ENSG00000284657;ENSG00000279179;BTF3L4;ENSG00000258634;ENSG00000290578;H2AC19;ENSG00000287064
22,1,58,"(41,)",SRM;KIAA2013;SPEN;IFFO2;ZSWIM5;CPT2;RGS2;ENSG00000290683;ENSG00000303319;ANKAR
22,1,58,"(34,)",DTNB;DGUOK-AS1;MRPL35;WDR75;GPR35;PDCD1;SETMAR;PRSS50;DHX30;CELSR3
22,1,57,"(474,)",MRPL20-AS1;ENSG00000297367;MPL;LINC01359;TXNIP;SLC27A3;FDPS;PM20D1;ETAA1;ENSG00000234389
22,1,55,"(83,)",CPTP;ADAMTSL4;ENSG00000242282;ZC3H8;RYBP;DGKG;ENSG00000293831;UBA6-DT;JADE1;SLC25A4
22,1,55,"(350,)",FBLIM1;ENSG00000284657;FAM167B;NPR1;VSIG8;NUAK2;ENSG00000269934;SDC1;ALMS1-IT1;EPC2
23,1,169,"(105,)",MMP23B;NCMAP-DT;GPN2;TXLNA;GNL2;MYCL;LRRC8C-DT;EEF1A1P11;SIKE1;SLC22A15
