n_train,holdout,set_size,genes_first10
200,36,12,HJURP;NCAPG;CCNA2;HMMR;CDCA2;KIF18A;PARPBP;DLGAP5;CCNB2;KIF18B
200,36,9,NCAPH;BUB1;NEIL3;KIFC1;TTK;MELK;REXO5;SHCBP1;SPAG5
200,37,15,PRKACB;SELENOI;JMY;HNRNPH1;ZNF451;MDN1;KPNA5;HSF2;WWP1;ETS1
200,37,14,ERO1B;ARL5A;PCNP;NAA50;PANK3;DEK;CCNC;UBQLN1;SPIN1;PIK3C2A
200,37,11,MGAT4A;ATF2;CARF;ZNF654;UBA6;CNOT6L;ANKIB1;IKZF5;CDK8;MBNL2
200,38,3,TNNI1;LDB3;TCAP
200,38,3,TNNT3;SLN;TNNC2
200,39,15,FABP3;TNNI1;TNNC1;TRDN;LDB3;TNNI2;TNNT3;MACROD1;MYL2;ENO3
200,39,7,HSPB7;FLNC;CRYAB;PPP1R27;JSRP1;HSPB6;EEF1A2
200,39,5,MYL1;MYOZ1;PACSIN3;MYL11;MYBPC2
200,42,5,TNNI2;TNNT3;ATP2A1;MYH1;TNNC2
200,42,3,TNNI1;MYBPC1;TCAP
200,44,3,LRIG1;WDR27;P2RY8
200,44,3,TENT4A;ABL1;SMAD7
200,44,3,ZHX2;POLR3E;ZBTB4
300,0,6,RAD54L;EXO1;CDC25A;MCM4;MELK;ORC6
300,0,5,KIF15;NCAPG2;SMC2;BUB1B;BRIP1
300,0,5,POLQ;ZNF367;CEP55;FEN1;GINS1
300,1,19,AKR7A3;HAAO;RAB17;AGXT;HGD;BDH1;BHMT2;CDO1;PHYH;MAT1A
300,1,5,ADH1A;ADH1B;BAAT;PRAP1;ALDH6A1
300,1,3,FMO3;ADH6;HPD
300,3,4,MRPL18;DNAJA1;STIP1;AHSA1
300,3,3,USP33;PIK3CA;WASHC4
300,3,3,HSP90AB1;HSPB1;DNAJA4
300,9,3,WDFY3;MCTP2;RASSF2
300,10,26,SRRM1;LANCL1;LRRC58;SLC25A36;DLG1;DCAF16;DCUN1D4;G3BP2;ENOPH1;OTUD4
300,10,11,CLIP4;GCFC2;DOCK10;GPD1L;LIMD1;TENT4A;OSBPL3;NUP205;TRIM44;XPO4
300,10,10,ERO1B;DENND6A;ZNF654;RYK;EBLN3P;CREBZF;GNPTAB;RAB12;BRWD1;TAF9B
300,12,3,GBP1;STAT1;SAMD9L
300,12,3,IBTK;TRUB1;INTS2
300,16,7,ACTA1;DES;TPM2;MYOZ1;ATP2A1;TCAP;CKM
300,16,3,ATP1A2;TRDN;NRAP
300,17,3,ENSG00000287632;DLGAP4;XK
300,20,14,ZRANB2;SMYD2;IFT80;EIF4A2;SEPSECS;MIER3;TMEM161B;SKIC3;SMAD5;ANKIB1
300,20,10,ANKRD13C;CARF;PI4K2B;CPLANE1;RINT1;ANKRD46;PPHLN1;MAPKAPK5;RPAIN;PABIR2
300,20,7,SRSF11;MALINC1;SUN1;SLC2A13;ZNF26;ZNF569;ZNF600
300,21,20,TNFRSF25;ATP8B2;LY9;FCMR;ITPR3;ENSG00000284691;EEIG1;PRKCQ-AS1;ANO9;CD6
