gene,mean_train,min_train,max_train,obs_range,union_width,clipped_union_width,cov_observed,cov_zero_to_max,band_to_mean,n_intervals,frac_holdouts_outside
CDC42BPG,183.46649248135301,11.987406007182283,1711.4821205802189,1699.4947145730366,2000.8086706256856,1507.080066704524,0.8867812613840033,1.1690502907195903,0.6330950837932253,2,0.0
EHD1,16033.140518921728,3441.266442521934,54546.46847041608,51105.20202789415,67368.64479583177,51105.20202789415,1.0,1.2350688630258428,0.5608903038909752,1,0.0
ENSG00000293953,132.52611202858907,8.04971545809747,712.6755269699667,704.6258115118692,919.9550329508088,704.6258115118692,1.0,1.290846953679072,0.659037877748172,1,0.0
ENSG00000308350,41.72800204229314,0.0,447.58338958145964,447.58338958145964,578.8111731048572,447.58338958145964,1.0,1.293191808673039,0.8348865575966609,1,0.0
ATG2A,8744.400495859,844.0991763048753,55379.97870192444,54535.879525619566,70295.90746694517,54535.879525619566,1.0,1.2693379288804674,0.56163132245272,1,0.0
PPP2R5B,2361.8718468137154,733.732801440765,11043.081873868823,10309.349072428058,13622.603360167683,10309.349072428058,1.0,1.2335871014777826,0.5660161552055537,1,0.0
BATF2,234.83247059923698,0.0,4629.044311361616,4629.044311361616,5930.04078291752,4629.044311361616,1.0,1.2810507707525534,0.6178459988327084,1,0.0
ARL2,640.0086407971459,65.96244098629026,5014.155871941014,4948.193430954724,5641.543092945516,4207.77220819078,0.8503653438177972,1.125123198605638,0.5818931710145933,2,0.0
SNX15,753.1521056921699,291.9022105966041,2262.7831589105685,1970.8809483139644,2703.8981556017293,1970.8809483139644,1.0,1.1949435565463278,0.5786571080391998,1,0.0
SAC3D1,136.25834184645137,12.328441381268888,1033.2805032272672,1020.9520618459983,1327.649648282184,1020.9520618459983,1.0,1.2848879313366577,0.6565241834292753,1,0.0
NAALADL1,276.6437756772832,30.37743992789683,927.2628259318137,896.8853860039169,1176.3268111682555,896.8853860039169,1.0,1.2686012835531884,0.6094555853999174,1,0.0
CDCA5,253.06633738139612,4.577300141255207,3691.49178000246,3686.9144798612047,4729.502217796209,3686.9144798612047,1.0,1.2811899632058932,0.6138603497967431,1,0.0
ZFPL1,881.1063600651169,260.0824511017701,1946.6754008179028,1686.5929497161326,2324.614152442096,1686.5929497161326,1.0,1.1941457479071245,0.5759852326277626,1,0.0
VPS51,3277.0635302453215,857.2946962873806,8934.164507642421,8076.869811355041,10837.744679202464,8076.869811355041,1.0,1.2130675084314477,0.5643424668062048,1,0.0
TM7SF2,263.37619948938396,48.22239232389739,3300.7543776399903,3252.5319853160927,4078.3061559660514,3123.0152570014893,0.9601797218599785,1.2355679003543438,0.611841159677755,2,0.0
ZNHIT2,150.97402643097308,20.043815480296544,1136.9265078537744,1116.8826923734778,1407.5141145730968,1066.3057926732195,0.9547160144519943,1.2379992065011505,0.6477487895032265,2,0.0
FAU,12124.86719852833,2861.7342367803303,33770.823764737,30909.08952795667,41182.3243984902,30909.08952795667,1.0,1.2194646090182788,0.5611769792873458,1,0.0
SYVN1,1872.9043383396152,450.0557197326283,5350.417673830302,4900.361954097674,6549.002368985254,4900.361954097674,1.0,1.2240170334771079,0.5675763222636766,1,0.0
MRPL49,931.9244677984841,228.64796918264204,2402.4336545465303,2173.785685363888,2923.7028631917196,2173.785685363888,1.0,1.216975485528478,0.5751250067467616,1,0.0
SPDYC,26.853740165041128,0.0,499.4091644410315,499.4091644410315,646.8918634548206,499.4091644410315,1.0,1.2953143624804333,0.9536352389004714,1,0.0
ENSG00000293278,30.405258938871558,0.0,159.80626399774553,159.80626399774553,211.0047653684956,159.80626399774553,1.0,1.3203785639558683,0.9164195311705463,1,0.0
CAPN1-AS1,160.15178450988378,5.302413624841193,827.0846522100833,821.7822385852421,1065.3094461918565,821.7822385852421,1.0,1.2880295183149681,0.6430437190349636,1,0.0
CAPN1,7578.532427302696,1540.140427828743,22924.968926878555,21384.82849904981,28259.312649160012,21384.82849904981,1.0,1.2326870644534293,0.5618818618704754,1,0.0
ENSG00000301154,44.15274617869442,2.26158653131974,142.15093666221495,139.8893501308952,191.4970251770776,139.8893501308952,1.0,1.3471386800082852,0.8221790350454347,1,0.0
POLA2,592.3031666581622,78.11341695744899,2970.8894339972394,2892.7760170397905,3757.92458079804,2892.7760170397905,1.0,1.2649156639067074,0.5836207616362555,1,0.0
ENSG00000287917,51.21168107541686,0.0,208.51954076081836,208.51954076081836,271.8167127769239,208.51954076081836,1.0,1.3035551094403683,0.7912197675967017,1,0.0
CDC42EP2,1393.0219289875336,90.14103162230028,6916.216620709502,6826.075589087202,8811.453913595913,6826.075589087202,1.0,1.274028041170866,0.5701629772466958,1,0.0
DPF2,2120.810202576858,434.2246140133901,4513.668173853203,4079.443559839813,5488.924872167322,4079.443559839813,1.0,1.2160674335706798,0.566695938403976,1,0.0
TIGD3,171.71584906824958,0.0,1677.1085754303208,1677.1085754303208,2153.3113142826915,1677.1085754303208,1.0,1.2839427010443758,0.6377908656323961,1,0.0
SLC25A45,716.4263470177293,140.58768645503662,2939.694547908771,2799.1068614537344,3676.792034500873,2799.1068614537344,1.0,1.2507394814595467,0.5795973346540503,1,0.0
FRMD8,1650.0867911023815,124.77058960051079,4438.745400663052,4313.974811062541,5610.745508108094,4313.974811062541,1.0,1.2640385968679282,0.5685916457851923,1,0.0
ENSG00000290057,35.70829332872881,3.8381105203612895,134.41975272423352,130.58164220387224,177.54731542839846,130.58164220387224,1.0,1.3208424493433084,0.8727400421080848,1,0.0
NEAT1,32901.38426435217,3361.152437629232,188722.62745489797,185361.47501726873,239161.12431085086,185361.47501726873,1.0,1.267262582850628,0.5604340297727747,1,0.0
FAUP4,127.19520930383358,11.340872394390477,439.34214200126297,428.0012696068725,567.0520430684033,428.0012696068725,1.0,1.2906843866272524,0.6628656735325067,1,0.0
ENEMAL,28.129619313491734,0.0,243.83448701520064,243.83448701520064,320.7304022228208,243.83448701520064,1.0,1.315361112978356,0.9393590733245054,1,0.0
SCYL1,3749.8825519317343,981.5285545927673,8346.736850687907,7365.208296095139,10000.001843731401,7365.208296095139,1.0,1.1980732138341272,0.5637967721623228,1,0.0
LTBP3,1676.496369255362,131.2938235129763,10568.892186738978,10437.598363226001,13446.257225943333,10437.598363226001,1.0,1.2722484994988073,0.5684573096411484,1,0.0
ZNRD2-DT,114.18531437676403,8.215716305803571,394.8201635897192,386.6044472839156,512.8634766803266,386.6044472839156,1.0,1.2989799508144502,0.6735897104543576,1,0.0
ZNRD2,282.2235535332334,42.895382427367664,1251.9782126886485,1209.0828302612808,1587.920166258169,1209.0828302612808,1.0,1.268328913526441,0.6085167589744735,1,0.0
FAM89B,71.0697103770362,12.211083820891295,237.4679130948862,225.2568292739949,308.03189128777797,225.2568292739949,1.0,1.2971516331332569,0.7339830180728328,1,0.0
ENSG00000289339,270.7350795045977,22.06425780092776,1975.9514908796516,1953.8872330787237,2530.6498304062256,1953.8872330787237,1.0,1.2807246747133625,0.6104902644433137,1,0.0
EHBP1L1,16264.810321393206,3776.8495073039658,51794.346466221585,48017.49695891762,63600.4537265723,48017.49695891762,1.0,1.2279420065286515,0.5608776326606026,1,0.0
KCNK7,182.30842017098024,8.04971545809747,2025.124578958284,2017.0748635001864,2602.6214693685993,2017.0748635001864,1.0,1.2851661060315496,0.6335324480127492,1,0.0
MAP3K11,9497.587575376045,1039.2730704688738,25592.48056653641,24553.207496067538,32035.659922151855,24553.207496067538,1.0,1.2517606426959744,0.5615021267300936,1,0.0
PCNX3,3639.783302542059,560.8734597672956,8628.705552762629,8067.832092995333,10667.714956343765,8067.832092995333,1.0,1.236305363662376,0.5639112218173048,1,0.0
SIPA1,19066.81252426283,3469.2737390444813,43479.64466847411,40010.37092942963,53181.172761909336,40010.37092942963,1.0,1.223128044569084,0.5607487444655899,1,0.0
ENSG00000309474,37.621527412716006,0.0,147.27664198199054,147.27664198199054,192.85901353225026,147.27664198199054,1.0,1.3095017033035943,0.8595861918931634,1,0.0
ENSG00000306723,59.6304611529204,0.0,815.2743257442808,815.2743257442808,1051.2997208097584,815.2743257442808,1.0,1.289504265757425,0.7628363125259469,1,0.0
RELA,4615.629583295811,615.1515365189694,13056.865111692608,12441.713575173639,16291.428743756986,12441.713575173639,1.0,1.2477289613084674,0.5630865676592829,1,0.0
RELA-DT,194.12042365093106,45.41229558649504,547.1131369067913,501.70084132029626,691.2249611811925,501.70084132029626,1.0,1.263404064996803,0.629303633767572,1,0.0
KAT5,1296.7163913506377,264.99803303616886,2521.399552388044,2256.4015193518753,3054.503906071948,2256.4015193518753,1.0,1.2114319220763705,0.5709105520551716,1,0.0
RNASEH2C,1408.7770862401894,384.6064650948457,6062.411454925198,5677.8049898303525,7498.812843045582,5677.8049898303525,1.0,1.2369356482647558,0.5700503207113427,1,0.0
ENSG00000297007,59.42059178952734,0.0,699.0229760130507,699.0229760130507,897.5407928546085,696.4082074542196,0.9962593954010716,1.2839932643899985,0.7634572184786937,2,0.0
AP5B1,14557.771330356692,1080.6743002495853,52846.75468605556,51766.08038580597,66885.6981439847,51766.08038580597,1.0,1.2656538427256259,0.5609804536088691,1,0.0
CFL1,60912.85664756521,10654.334149047296,159891.5535268573,149237.21937781,197011.3490812133,149237.21937781,1.0,1.23215607538719,0.5602344779888372,1,0.0
MUS81,1534.994337698298,301.8800157369851,3743.76993904488,3441.889923307895,4596.973519491159,3441.889923307895,1.0,1.227899575651796,0.5692306133886874,1,0.0
EFEMP2,560.470822003052,110.21016447540725,2707.711412111378,2597.501247635971,3412.666042119234,2597.501247635971,1.0,1.2603507252858077,0.584933694720934,1,0.0
CTSW,8827.133739284936,97.08505220335798,66535.97101302005,66438.8859608167,85111.21002734144,66438.8859608167,1.0,1.279175891348854,0.5616160547085858,1,0.0
FIBP,1670.7833253489464,402.98343548793065,4808.869192516113,4405.8857570281825,5887.343521678112,4405.8857570281825,1.0,1.2242677615020998,0.568486012554483,1,0.0
ENSG00000305207,19.60324236511144,0.0,576.4953180976137,576.4953180976137,624.6760424493718,453.02325674641605,0.7858229590508296,1.083575222277174,1.0629165116176655,2,0.0
CCDC85B,1372.8818645160118,121.93579597948396,7022.092369339081,6900.156573359597,8908.204829021353,6900.156573359597,1.0,1.2685969310112895,0.5703107194068103,1,0.0
FOSL1,212.83989969102313,8.390204101652522,10744.985813465522,10736.59560936387,12234.308506119682,9206.782214513134,0.8575141087071849,1.1386062967889408,0.6235173413245311,2,0.020000000000000018
C11orf68,1475.3406536597086,209.58350348157109,4022.443059029718,3812.859555548147,5018.73646179853,3812.859555548147,1.0,1.2476836559643272,0.5696006960735858,1,0.0
DRAP1,2853.5925091209524,1072.4543579719375,7725.378501253894,6652.924143281956,9128.237833970143,6652.924143281956,1.0,1.1815910162186296,0.5649840416683392,1,0.0
SART1,4872.548136049755,621.9362961129285,12316.475863422433,11694.539567309504,15339.961661572466,11694.539567309504,1.0,1.2454830287232734,0.5629242425129035,1,0.0
EIF1AD,661.8700565126135,145.8289644280134,1518.5390907296892,1372.7101263016757,1859.108360424673,1372.7101263016757,1.0,1.2242742855775504,0.5811832149784079,1,0.0
BANF1,1798.213383063991,346.3028151780239,10287.047844126537,9940.745028948513,12930.032623805897,9940.745028948513,1.0,1.2569235430540349,0.5678888275485577,1,0.0
CATSPER1,202.6710296458809,24.854333650316935,769.3365547408071,744.4822210904902,977.9965705428832,744.4822210904902,1.0,1.271220721953573,0.6265346509889983,1,0.0
