gene,train_mean_count,train_obs_sd,predicted_sd_tech,obs_sd_over_tech_sd,n_merged_intervals,total_band_width,frac_holdouts_outside
MAP3K11,9497.587575376045,4748.85417020143,1333.2289055947406,3.5619196000577347,1,32035.659922151855,0.0
PCNX3,3639.783302542059,1347.6927227216677,513.1286623216794,2.6264226142113296,1,10667.714956343765,0.0
SIPA1,19066.81252426283,5819.637863801099,2672.9227959852915,2.1772562501775767,1,53181.172761909336,0.0
ENSG00000309474,37.621527412716006,21.41188855876591,8.084736370475202,2.6484337370554694,1,192.85901353225026,0.0
ENSG00000306723,59.6304611529204,54.85463845818084,11.372070275028879,4.823628163697884,1,1051.2997208097584,0.0
RELA,4615.629583295811,2394.109194370919,649.7497549111712,3.684663482017355,1,16291.428743756986,0.0
RELA-DT,194.12042365093106,71.92974970899084,30.54017199800786,2.3552503146898722,1,691.2249611811925,0.0
KAT5,1296.7163913506377,361.4274011199716,185.0772677112456,1.9528459955647521,1,3054.503906071948,0.0
GVQW3,101.35708448447694,82.37387890162115,17.398648009493943,4.73449884477645,1,1387.7299743746285,0.0
EMSY-DT,33.28889189182494,19.68716346930656,7.416780853590247,2.6544081398571433,1,213.8102489183605,0.0
EMSY,641.8575353610363,314.0773011299928,93.36319944751261,3.3640374686019876,1,2689.662942964864,0.0
BCL9L,1264.4307940073406,1303.090059655842,180.55642153508254,7.217079562039551,1,10392.008545654771,0.0
CD3D,1470.922265787206,1445.1941214173335,209.47010187796047,6.899285905056365,3,22574.70767857942,0.0
CD3G,596.0589231631049,617.3306644256081,86.94635831854814,7.100132499671512,1,7069.235869260368,0.0
UBE4A,971.0632655619231,508.4756301229456,139.47456769514696,3.645651236104445,1,3812.201015597408,0.0
ATP5MG,1714.5201469615888,648.6107184198278,243.57806777288158,2.6628453224475406,1,7342.688592896379,0.0
KMT2A,1756.5879426810811,1400.1195461075113,249.46817726913216,5.612417429085672,1,10311.725782228965,0.0
TMEM25,124.27559531832844,94.78398103528609,20.66364676711585,4.5869919333950975,2,1246.0180241825988,0.0
IFT46,161.9963306685794,79.05673490678824,26.006834278901003,3.0398446061897624,1,787.2659813464331,0.0
