gene,mean_train,max_train,uncovered_fraction,covered_within_total,n_clipped_intervals,holdout_inside_rate,holdout_above_rate,tight_and_holdout_all_in
PCYT1A,5133.359806550427,18574.314787597967,0.026616743746490146,18079.927010629828,1,1.0,0.0,False
DYNLT2B,32.12910293239175,211.59360235656746,0.0,211.59360235656746,1,1.0,0.0,False
UBXN7,1758.203110613512,5873.386898036989,0.031312600222849096,5689.475882144637,1,1.0,0.0,False
RNF168,705.1414256530312,2953.880657646071,0.015034267797564671,2909.4712247969737,1,1.0,0.0,False
WDR53,135.20136822943772,468.3872168413458,0.011962116144710211,462.784314552792,1,1.0,0.0,False
FBXO45,161.82552857399924,1322.7987118609942,0.06929116471095376,1231.1404484379966,2,1.0,0.0,False
ENSG00000288990,119.15932036195929,486.4319995086485,0.0038169449369489516,484.57531535095404,1,1.0,0.0,False
NRROS,1207.9631203029464,9287.487393864889,0.005157337685386398,9239.588685125958,1,1.0,0.0,False
PIGX,664.775707423961,2230.3554280675876,0.03582023375477472,2150.463575277976,1,1.0,0.0,False
CEP19,686.5993651692089,3594.3094396336164,0.0019411086359760743,3587.332494539973,1,1.0,0.0,False
PAK2,5599.792877165588,11661.136355977189,0.08005293004301939,10727.628223050036,1,1.0,0.0,False
SENP5,1111.9512626380056,3479.078409048314,0.0499370006286709,3305.343668348473,1,1.0,0.0,False
NCBP2,726.3661327239614,2884.618942986127,0.02601781553825866,2809.5674594293473,1,1.0,0.0,False
NCBP2AS2,218.55875882646015,662.8320006589315,0.020176278074718668,649.4585178968148,1,1.0,0.0,False
PIGZ,47.86123510400643,471.43778202646234,0.0,471.43778202646234,1,1.0,0.0,False
MELTF,59.7471274228172,727.7038890445577,0.0,727.7038890445577,1,1.0,0.0,False
DLG1,482.8390712330208,2144.613353964762,0.016148139219583246,2109.981838952762,1,1.0,0.0,False
BDH1,344.6756931225255,4064.196881013876,0.10173472044122489,3650.726947505831,2,0.98,0.0,False
ENSG00000291091,470.17364196010755,1997.3136632590874,0.021400554742016298,1954.5700428715343,1,1.0,0.0,False
RUBCN,693.0033159108565,4013.6304173973012,0.013390139654184896,3959.887345588067,1,1.0,0.0,False
FYTTD1,992.6587849151324,4134.929806521465,0.014662568660548492,4074.301114326796,1,1.0,0.0,False
LRCH3,1032.045673381945,3956.1230049574106,0.036179275208693684,3812.9933420016123,1,1.0,0.0,False
IQCG,77.9922684157202,540.4689852972023,0.0,540.4689852972023,1,1.0,0.0,False
RPL35A,6170.491916392005,26564.191929125118,0.01830803126506053,26077.853872755626,1,1.0,0.0,False
LMLN,27.126661901697187,198.22838218633134,0.0,198.22838218633134,1,1.0,0.0,False
ENSG00000290937,3465.8417088450924,15851.285160082301,0.01192017416744462,15662.33508019629,1,1.0,0.0,False
ZNF595,98.35848393928113,607.5659393020045,0.0,607.5659393020045,1,1.0,0.0,False
ZNF718,74.61191513112732,370.03513489147207,0.0,370.03513489147207,1,1.0,0.0,False
ZNF141,325.70952070779583,2185.822196007421,0.004216794645743427,2176.60503267475,1,1.0,0.0,False
ZNF721,139.29826057610575,990.7657767703112,0.0,990.7657767703112,1,1.0,0.0,False
PIGG,1015.1226065094795,2739.0728200269486,0.0461667423795008,2612.618750786072,1,1.0,0.0,False
PDE6B,100.18562315963317,312.70825223008944,0.0011595989390017492,312.34563607258633,1,0.98,0.0,False
ENSG00000272927,36.91765487106401,217.15622947851605,0.0,217.15622947851605,1,1.0,0.0,False
ATP5ME,261.65398170343155,1346.093280371754,0.01383521038645763,1327.4697966380138,1,1.0,0.0,False
MYL5,352.3882722580473,1179.472562531305,0.04278462511022685,1129.0092711156044,1,1.0,0.0,False
SLC49A3,463.96237003418054,1282.052231878208,0.02782380969556797,1246.3806545586506,1,1.0,0.0,False
PCGF3,1557.2849568426916,5661.354504644651,0.042099603227373716,5423.013726269606,1,1.0,0.0,False
PCGF3-AS1,197.1558904482381,963.3967976949882,0.00805916150966024,955.6326273044748,1,1.0,0.0,False
CPLX1,22.990964834417525,1426.6455885373891,0.488943094885521,729.0970791731426,2,1.0,0.0,False
GAK,6118.060805303595,14044.600281845587,0.053719244665112575,13290.134963081415,1,1.0,0.0,False
TMEM175,2053.3292153294556,4771.587294544685,0.06714344065448241,4451.206506205742,1,1.0,0.0,False
DGKQ,2202.620951507651,8676.254072630012,0.02392271313933403,8468.694535326506,1,1.0,0.0,False
SLC26A1,55.72228383383809,323.43120037903066,0.0,323.43120037903066,1,1.0,0.0,False
IDUA,536.709206513013,2585.697104694321,0.006176685362438872,2569.726067236055,1,1.0,0.0,False
FGFRL1,440.90900978056294,4160.3394785620585,0.0037247094773025236,4144.8434226774625,2,1.0,0.0,False
SPON2,4572.179896392321,33215.191572501455,0.002018828752770263,33148.13578872612,1,1.0,0.0,False
ENSG00000273179,266.4952713629485,2096.898078110505,0.0,2096.898078110505,1,1.0,0.0,False
CTBP1-AS,180.6988492968295,718.0520557593244,0.0,718.0520557593244,1,1.0,0.0,False
CTBP1,3803.6299596311665,8799.934030778548,0.06188158368657093,8255.380176616622,1,1.0,0.0,False
CTBP1-DT,224.71162278316118,1033.1674063306448,0.007723617320931853,1025.1876166556872,1,1.0,0.0,False
MAEA,5185.219072901908,12787.823892247638,0.05312041269234746,12108.529409654382,1,0.98,0.02,False
UVSSA,1839.8656337370228,7078.890536103193,0.030251153638295447,6864.74593090686,1,1.0,0.0,False
ENSG00000244459,119.16133790110922,426.7897730721321,0.0015104064828048713,426.14514703208914,1,1.0,0.0,False
SLBP,1342.7582497774793,3794.779538559102,0.03705659822444407,3654.157917848376,1,1.0,0.0,False
TACC3,8469.818372593681,25926.4186976977,0.034248112468006964,25038.48779424631,1,1.0,0.0,False
TMEM129,1147.8376124275342,3138.3192827379653,0.03611305624164074,3024.9849819762235,1,1.0,0.0,False
FGFR3,23.235616458438233,355.0639888455068,0.0,355.0639888455068,1,1.0,0.0,False
LETM1,706.0951669445211,5199.6599735991285,0.18206577804275026,4252.979834948057,2,1.0,0.0,False
