geneid,chrm_probe,s1,s2,log2FC,mean_expr
GAS7,17,9813926,10101868,0.04171979307855267,9957897.0
LOC100286793+FLJ39739,1,143718513,147931980,0.04168805478994031,145825246.5
MED16,19,867962,893218,0.04138039561022566,880590.0
VWF,12,6058040,6233836,0.04126909028425629,6145938.0
SHISA6,17,11144740,11467380,0.04117284703135127,11306060.0
JAKMIP1,4,6027926,6202318,0.04114578351908449,6115122.0
TUBB8,10,92828,95504,0.04100068781920285,94166.0
TSPAN4,11,842824,867116,0.040993561038078496,854970.0
SIGIRR,11,405716,417397,0.04094993335101549,411556.5
F13A1,6,6144311,6320924,0.04088422083695065,6232617.5
JAK2,9,4985245,5128183,0.040783329951231906,5056714.0
RNF216,7,5659678,5821292,0.04061940375807538,5740485.0
PRMT8,12,3600425,3703138,0.04058108775938152,3651781.5
DCP1B,12,2055214,2113677,0.040466286822940845,2084445.5
GTPBP4,10,1034349,1063708,0.04037908246615629,1049028.5
XKR6,8,10753657,11058875,0.040377265415799,10906266.0
ATXN1,6,16299343,16761721,0.040356469140458984,16530532.0
FBXL7,5,15500305,15939900,0.04034597221316005,15720102.5
TMEM175,4,926262,952443,0.040212384618719454,939352.5
TRIP13,5,892969,918164,0.04014173053656478,905566.5
EPB41L3,18,5392388,5543986,0.03999930009155861,5468187.0
BNC2,9,16409501,16870786,0.0399958188022147,16640143.5
MUTED-TXNDC5+EEF1E1-MUTED+MUTED+TXNDC5+EEF1E1,6,7881483,8102828,0.039958395165768934,7992155.5
ABCA3,16,2325879,2390747,0.03968540363306872,2358313.0
STX18,4,4420696,4543775,0.03961786072875029,4482235.5
LINGO2,9,27948528,28719303,0.03924843402072398,28333915.5
MUC2,11,1074875,1104417,0.0391160695085091,1089646.0
PTPRT,20,40701392,41818557,0.03906514395331229,41259974.5
SNX8,7,2291405,2354099,0.038942502567952175,2322752.0
AJAP1,1,4715105,4843851,0.03886458091863432,4779478.0
TOLLIP,11,1295598,1330892,0.03877532763602076,1313245.0
LOC285692,5,9641427,9903936,0.038755296389016536,9772681.5
PKP3,11,394217,404908,0.0386040591024539,399562.5
HDAC9,7,18535369,19036992,0.03852470056929391,18786180.5
FAM53A,4,1641608,1685988,0.038484578099982514,1663798.0
C9orf93,9,15553097,15971897,0.038333786347610754,15762497.0
KIAA1751,1,1884752,1935276,0.03816460861656168,1910014.0
TCF3,19,1609292,1652326,0.038072210381915994,1630809.0
SLC24A3,20,19193290,19703541,0.03785289241022838,19448415.5
TMEM8A,16,420776,431950,0.03781181614094464,426363.0
TEAD4,12,3068478,3149842,0.037756211048236565,3109160.0
POLRMT,19,617223,633568,0.037707586854903496,625395.5
CDH18,5,19473155,19988353,0.0376729544665757,19730754.0
PSD3,8,18384813,18871196,0.03767135518155129,18628004.5
