lncRNA,pc,r,direction
MIR223HG,ARL11,0.8716111915211882,pos
MIR223HG,RGS19,0.8710680484333823,pos
MIR223HG,KREMEN1,0.8707965088054401,pos
MIR223HG,HHEX,0.8702095205675103,pos
MIR223HG,KCNJ2,0.8695975520970014,pos
MIR223HG,SIRPA,0.8695586636917185,pos
MIR223HG,SULT1B1,0.8694360573780323,pos
MIR223HG,RASSF2,0.8685645668418593,pos
MIR223HG,TNFSF10,0.8680856919029344,pos
MIR223HG,SLC25A44,0.8674928290039354,pos
MIR223HG,TMBIM4,0.8673599897500686,pos
MIR223HG,GMPR2,0.8673181860833553,pos
MIR223HG,MANSC1,0.8671004001363176,pos
MIR223HG,PPP1R3D,0.8669522619415896,pos
MIR223HG,MAP2K6,0.8666565786848416,pos
MIR223HG,PISD,0.8663474141767361,pos
MIR223HG,TMEM185B,0.8661011135001226,pos
MIR223HG,CDC123,0.8655045013482011,pos
MIR223HG,NRBF2,0.8651267072458952,pos
MIR223HG,JUN,-0.8649509308046149,neg
MIR223HG,EMD,-0.8625253201023568,neg
MIR223HG,MAFF,-0.8605935655326515,neg
MIR223HG,CCL3,-0.8593059237260615,neg
MIR223HG,BHLHE40,-0.8561511527070703,neg
MIR223HG,RALGDS,-0.8536233894429351,neg
MIR223HG,ATF3,-0.8446807916536232,neg
MIR223HG,DUSP2,-0.8384859827067987,neg
MIR223HG,CCL4,-0.8370571200537955,neg
MIR223HG,NR4A1,-0.8350293865033798,neg
MIR223HG,HILPDA,-0.8341740946387124,neg
MIR223HG,H1-4,-0.8323173315611708,neg
MIR223HG,H1-3,-0.8303086207686738,neg
MIR223HG,DUSP10,-0.8293673454775983,neg
MIR223HG,TKTL1,-0.8283392225238783,neg
MIR223HG,CXCL8,-0.8281773131579266,neg
MIR223HG,VEGFA,-0.8276715681586809,neg
MIR223HG,SH2D2A,-0.826080628178521,neg
MIR223HG,SSBP3,-0.8218943814262066,neg
MIR223HG,RGS1,-0.8189468410978922,neg
MIR223HG,SLC3A2,-0.8185493313897788,neg
MIR223HG,AVPI1,-0.8142865140307738,neg
MIR223HG,LGR6,-0.8140955013750345,neg
MIR223HG,CAPN5,-0.8139511250743413,neg
MIR223HG,FTH1,-0.8106321712689099,neg
MIR223HG,SETBP1,-0.8096440733697653,neg
MIR223HG,PLAU,-0.8079328857102506,neg
MIR223HG,CD83,-0.804781260963517,neg
MIR223HG,MRPL55,-0.804197753050352,neg
MIR223HG,SERPINH1,-0.8038016161613509,neg
MIR223HG,DDIT4,-0.8037351093866796,neg
MIR223HG,LIF,-0.8030840752755611,neg
MIR223HG,ARHGEF39,-0.8026022579162143,neg
MIR223HG,HSPA1B,-0.8004153942610938,neg
MIR223HG,GZMB,-0.7997001678931873,neg
MIR223HG,CIZ1,-0.7988603209266544,neg
MIR223HG,G0S2,-0.7987389818514751,neg
MIR223HG,HBEGF,-0.7983810019309332,neg
MIR223HG,PRR29,-0.7982721530786095,neg
MIR223HG,NR1D1,-0.7982609266712113,neg
MIR223HG,PLIN2,-0.7957950303671641,neg
MIR223HG,PI4K2A,-0.7956972091729445,neg
MIR223HG,CTSW,-0.7956964499303999,neg
MIR223HG,TNFSF9,-0.7953373894068602,neg
MIR223HG,PPT2,-0.7946886111110143,neg
MIR223HG,PRF1,-0.7941582335057361,neg
MIR223HG,KIR3DL2,-0.7933269787245862,neg
MIR223HG,PPP1R15A,-0.7920966110843733,neg
MIR223HG,DNAJB1,-0.7913388871812146,neg
MIR223HG,NR4A2,-0.7897098124853308,neg
