geneid	chrm_probe	s1	s2
AKR1CL1	10	5196655	5227150
AKR1D1	7	137761178	137803050
AKR1E2	10	4868402	4890251
AKR7A2	1	19630459	19638640
AKR7A2P1	1	113465972	113467295
AKR7A3	1	19609057	19615280
AKR7L	1	19592476	19600568
AKT1	14	105235687	105262080
AKT1S1	19	50372297	50380644
AKT2	19	40736224	40791265
AKT3	1	243651535	244006553
AKTIP	16	53525192	53537170
ALAD	9	116148592	116163618
ALAS1	3	52232116	52248343
ALB	4	74269972	74287129
ALCAM	3	105085713	105295744
ALDH16A1	19	49956473	49974305
ALDH18A1	10	97365686	97416567
ALDH1A1	9	75515587	75567969
ALDH1A2	15	58245627	58357906
ALDH1A3	15	101420009	101456830
ALDH1B1	9	38392702	38398657
ALDH1L1	3	125822408	125899485
ALDH1L2	12	105413562	105478341
ALDH2	12	112204346	112247784
ALDH3A1	17	19641298	19651746
ALDH3A2	17	19552064	19580908
ALDH3B1	11	67776048	67796743
ALDH3B2	11	67429633	67448685
ALDH4A1	1	19197924	19229293
ALDH5A1	6	24495197	24537435
ALDH6A1	14	74526872	74551196
ALDH7A1	5	125878918	125931082
ALDH8A1	6	135238528	135271260
ALDH9A1	1	165631449	165667900
ALDOA	16	30064491	30081735
ALDOB	9	104182842	104198062
ALDOC	17	26900133	26903951
ALG1	16	5121810	5137380
ALG10	12	34175216	34181236
ALG10B	12	38710557	38723528
ALG11+UTP14C	13	52586523	52607736
ALG12	22	50296854	50312106
ALG14	1	95448279	95538507
ALG1L	3	125648118	125655887
ALG1L2	3	129800674	129817233
ALG2	9	101978707	101984246
ALG3	3	183960117	183967313
ALG5	13	37523908	37573504
ALG6	1	63833261	63904233
ALG8	11	77811988	77850699
ALG9	11	111652919	111742305
ALK	2	29415640	30144432
ALKBH1	14	78138749	78174356
ALKBH2	12	109525993	109531293
ALKBH3	11	43902357	43941825
ALKBH4	7	102096667	102105321
ALKBH5	17	18086867	18113267
ALKBH6	19	36500022	36505141
ALKBH7	19	6372444	6375261
ALKBH8	11	107373453	107436461
ALLC	2	3705786	3750260
ALMS1	2	73612886	73837046
ALMS1P	2	73872046	73912694
ALOX12	17	6899384	6914055
ALOX12B	17	7975954	7991021
ALOX12P2	17	6756895	6803668
ALOX15	17	4534214	4544960
ALOX15B	17	7942358	7952451
ALOX5	10	45869629	45941563
ALOX5AP	13	31309669	31338556
ALOXE3	17	7999218	8022234
ALPK1	4	113218499	113363764
ALPK2	18	56148482	56296189
ALPK3	15	85359911	85416713
ALPL	1	21835858	21904905
ALPP	2	233243348	233247599
ALPPL2	2	233271552	233275424
ALS2	2	202564986	202645895
ALS2CL	3	46710485	46735194
ALS2CR11	2	202352144	202483905
ALS2CR12	2	202153147	202222101
ALS2CR4	2	202484907	202508224
ALS2CR8	2	203776978	203851060
ALX1	12	85674036	85695561
ALX3	1	110602997	110613322
ALX4	11	44282278	44331716
AMAC1	17	33519539	33521412
AMAC1L2	8	11188495	11189695
AMAC1L3	17	7384721	7386383
AMACR	5	33987091	34008220
AMBN	4	71458001	71473004
AMBP	9	116822408	116840752
AMBRA1	11	46417964	46612914
AMD1	6	111195987	111216913
AMDHD1	12	96337071	96362370
AMDHD2	16	2570363	2580955
AMFR	16	56395364	56459444
AMH+MIR4321	19	2249113	2252072
AMHR2	12	53817639	53825318
AMICA1	11	118064442	118095809
AMIGO1	1	110049446	110052336
AMIGO2	12	47469490	47473734
AMIGO3	3	49754267	49757238
AMMECR1L	2	128619207	128643514
AMN	14	103388993	103397179
AMN1	12	31824071	31882108
AMOTL1	11	94501508	94609918
AMOTL2	3	134074190	134093406
AMPD1	1	115215720	115238239
AMPD2	1	110162459	110174677
AMPD3	11	10471868	10529126
AMPH	7	38423297	38671167
AMTN	4	71384298	71398459
AMY2A	1	104159999	104168400
AMY2B+RNPC3	1	104068578	104122149
AMZ1	7	2719163	2755069
AMZ2	17	66244145	66253305
AMZ2P1	17	62962668	62971703
ANAPC1	2	112526640	112641741
ANAPC10	4	145916313	146019368
ANAPC11	17	79849599	79858363
ANAPC13	3	134196546	134204865
ANAPC16	10	73975806	73995618
ANAPC2	9	140069236	140083057
ANAPC4	4	25378848	25420120
ANAPC5	12	121746048	121792012
ANAPC7	12	110810705	110841535
ANG+RNASE4	14	21152336	21168758
ANGEL1	14	77253586	77279283
ANGEL2	1	213165524	213189168
ANGPT1	8	108261710	108510254
ANGPT2	8	6357175	6420784
ANGPTL1	1	178818670	178840215
ANGPTL2	9	129849628	129885044
ANGPTL3	1	63063187	63071180
ANGPTL4	19	8429011	8439257
ANGPTL5	11	101761405	101787253
ANGPTL6	19	10203013	10213425
ANGPTL7	1	11249398	11256038
ANK1	8	41510744	41754280
ANK2	4	113739239	114304896
ANK3	10	61788159	62149488
ANKAR	2	190540711	190611376
ANKDD1A	15	65204101	65251041
ANKFN1	17	54230836	54560007
ANKFY1	17	4066665	4167274
ANKH	5	14704909	14871887
ANKIB1	7	91875548	92030698
ANKK1	11	113258513	113271140
ANKLE1	19	17392454	17398454
ANKLE2	12	133302254	133338451
ANKMY1	2	241418839	241497405
ANKMY2	7	16639401	16685442
ANKRA2	5	72848025	72861511
ANKRD1	10	92671857	92681032
ANKRD10	13	111530887	111567416
ANKRD11	16	89334035	89556969
ANKRD12	18	9136758	9285206
ANKRD13A	12	110437235	110477235
ANKRD13B	17	27920527	27941779
ANKRD13C	1	70724685	70820417
ANKRD13D	11	67056762	67069955
ANKRD16	10	5903689	5931860
ANKRD17	4	73940502	74124502
ANKRD18A	9	38571361	38620360
ANKRD19	9	95571893	95600739
ANKRD2	10	99332256	99343641
ANKRD22	10	90579659	90611732
ANKRD23	2	97503651	97509758
ANKRD24	19	4183351	4224811
ANKRD26	10	27293045	27389427
ANKRD26P1	16	46503249	46603009
ANKRD27	19	33087907	33166102
ANKRD28	3	15708744	15901053
ANKRD29	18	21179978	21242849
ANKRD30B	18	14748239	14852737
ANKRD30BP2	21	14410487	14490571
ANKRD31	5	74364122	74532703
ANKRD32	5	93954391	94031573
ANKRD33	12	52281793	52285505
ANKRD33B	5	10564435	10657928
ANKRD34A	1	145470508	145475647
ANKRD34B	5	79852574	79866304
ANKRD34C	15	79575146	79590581
ANKRD35	1	145549209	145568526
ANKRD36	2	97779233	97930257
ANKRD36B	2	98121261	98206428
ANKRD36BP1	1	168214819	168216668
ANKRD36BP2	2	89065419	89106109
ANKRD37	4	186317840	186321390
ANKRD39	2	97513724	97523756
ANKRD40	17	48770551	48785270
ANKRD42	11	82905291	82960013
ANKRD43	5	132149033	132152489
ANKRD44	2	197851386	198175521
ANKRD45	1	173577475	173639001
ANKRD46	8	101533000	101572012
ANKRD49	11	94227153	94232744
ANKRD5	20	10015697	10037407
ANKRD50	4	125585204	125633887
ANKRD52	12	56631591	56652143
ANKRD53	2	71205575	71212629
ANKRD55	5	55395507	55529186
ANKRD56	4	77816082	77819002
ANKRD57	2	110371911	110376564
ANKRD6	6	90142897	90343403
ANKRD7	7	117864712	117882784
ANKRD9	14	102973198	102976128
ANKS1A	6	34857038	35059190
ANKS1B	12	99129071	100378432
ANKS3	16	4746513	4784163
ANKS4B	16	21245016	21263750
ANKS6	9	101494291	101558794
ANKZF1	2	220094479	220101391
ANLN	7	36429432	36493400
ANO1	11	69924408	70035652
ANO10	3	43407818	43663560
ANO2	12	5671817	6055398
ANO3	11	26353678	26684836
ANO4	12	101188374	101522419
ANO5	11	22214722	22304913
ANO6	12	45609770	45834187
ANO7	2	242127924	242164791
ANO8	19	17434032	17445638
ANO9	11	417930	442011
ANP32A	15	69070875	69113261
ANP32B	9	100745489	100778224
ANP32C	4	165118159	165118863
ANP32E	1	150190717	150208504
ANPEP	15	90328126	90358072
ANTXR1	2	69240276	69476459
ANTXR2	4	80822771	80994477
ANUBL1	10	46111039	46168251
ANXA1	9	75766781	75785307
ANXA10	4	169013707	169108893
ANXA11	10	81914880	81965328
ANXA13	8	124693034	124749647
ANXA2	15	60639350	60690185
ANXA2P1	4	154228621	154229963
ANXA2P2	9	33624223	33625532
ANXA2P3	10	66585285	66586634
ANXA3	4	79472742	79531605
ANXA4	2	69969127	70053596
ANXA5	4	122589152	122618147
ANXA6	5	150480267	150537443
ANXA7	10	75135189	75173841
ANXA9	1	150954499	150968114
AOAH	7	36552549	36764154
AOC2	17	40996609	41002724
AOC3	17	41003201	41010140
AOX1	2	201450731	201536217
AOX2P	2	201560446	201658941
AP1AR	4	113152895	113191211
AP1B1	22	29723669	29784572
AP1G1	16	71762905	71842976
AP1G2+JPH4	14	24028777	24048009
AP1M1	19	16308665	16346156
AP1M2	19	10683347	10697991
AP1S1	7	100797686	100804557
AP1S3	2	224620047	224702319
AP2A1	19	50270180	50310369
AP2A2	11	925841	1012240
AP2B1	17	33914282	34053436
AP2M1	3	183892634	183901879
AP2S1	19	47341423	47354203
AP3B1	5	77298150	77590528
AP3B2	15	83328033	83378635
AP3D1	19	2100993	2151556
