gene,mean_cpm,mean_log2cpm,cv
SLC25A16,42.924725200121934,5.456961355425818,0.2609367388664952
GBF1,66.1276819911946,6.068835919968266,0.26094886282462115
MIA2,126.78985054752211,6.997629447450709,0.2611840470505527
PSME2,81.37334298503082,6.36410563417257,0.2612800768654045
FGD5-AS1,57.3265000504929,5.866079601041602,0.2613590443207483
NONO,137.15909209721463,7.110186697216057,0.261490027304068
ATG9A,50.020285440728934,5.672999065226653,0.26151895043567736
SIRT2,45.14859993741968,5.528214974741496,0.26154243081525247
MED13,39.4956841213684,5.339696254033131,0.2615998982971732
TAOK2,38.933238410430235,5.3195181678405925,0.26170858205442454
NDUFA5,41.216619947207114,5.399739169531462,0.2617405905134487
YY1AP1,50.389542196333906,5.683402894840887,0.2617581506506365
NDUFB8,49.437737692228076,5.6564316621197275,0.26177930257838156
C18orf32,41.23067419668315,5.400219374289121,0.26194984477306443
DLST,90.4103663724016,6.514285877960755,0.26221597628549115
TMEM259,147.63689413458806,7.215648450863567,0.2622177209691508
PSMF1,75.18537845163529,6.251442236183185,0.26231475985037694
PSMD4,72.5663032473912,6.200973191741125,0.2623386893418631
CNDP2,203.55643150308583,7.676355087801168,0.2623579544075758
SNRPD3,54.6800110675046,5.7990875928382355,0.26242230568067504
TBL1XR1,54.411158094419704,5.792104614601969,0.2624888249557259
HSF1,42.718642690774956,5.450176706014176,0.2625409034993987
BCLAF1,55.67669356870621,5.824683690984329,0.262572058624056
PRP4K,56.10796423139142,5.835620051612179,0.26260253171574893
PGRMC2,73.09567919802362,6.211317510814788,0.2626037748408877
RPS27,243.66120309032476,7.934641535381578,0.2626864348169147
CTTN,87.72663698377163,6.471295381773843,0.26269300063126383
LRCH4,50.67109872926702,5.691285656304706,0.26274426422859204
LUC7L2,64.56226834145482,6.034793864949435,0.2628688818525607
DUSP3,115.1004106213144,6.859229264478517,0.26305178466186013
AGAP3,53.65458626384089,5.772270657618598,0.2631719458958693
TUFM,139.55903149933482,7.135032345596767,0.2632188297304694
NDUFB10,45.78804714947131,5.5480681092968815,0.2635098097138766
ZC3H7B,104.4145445129597,6.719930125526638,0.2635642764501606
FAM20C,98.06638910246014,6.630323762792811,0.2635945304450961
SFPQ,142.93227631497487,7.169246337503774,0.26384674122576596
PRRC2A,85.46913914008685,6.434113421235444,0.26384769262284485
PDCD6IP,59.79519897011291,5.925885492643498,0.26404126044897636
REPIN1,97.2840879133666,6.61888595960505,0.2641564019454375
R3HDM2,61.92871135581436,5.975646494819235,0.2642912472763243
PAPOLA,88.31705581868786,6.48086379090014,0.2644457158551104
HNRNPA3,64.81611941533403,6.040369061105068,0.2645364431021335
GNAI2,130.65912349245812,7.040663688076747,0.26461346373850875
