gene,mean_cpm,std_cpm,cv
OTUD5,123.33305300383903,37.09723809053352,0.30078910062640535
TBRG1,29.096135719996397,8.753811175787474,0.3008582053654429
PPP6C,69.33975407300875,20.862619329248588,0.30087530029717235
TUBGCP2,97.40562961074305,29.31263234341104,0.3009336571258926
DNAJC7,45.46249170864803,13.6866947464195,0.3010546547719462
USF1,133.04072395298783,40.05394787914974,0.3010653181149516
CHTOP,73.50841191897904,22.14005790091476,0.3011908069149627
GNPTG,30.253263635387327,9.114793539314839,0.3012829838514757
PARVG,173.69869589486396,52.3489464979535,0.3013778901923315
GMEB2,35.99357403354274,10.851175766511368,0.3014753621410049
OTUB1,102.81122191314904,31.017189403105633,0.3016906989910864
SEC13,45.580307111611006,13.753624767419884,0.30174489026021334
STUB1,19.433144863285992,5.864469120623466,0.301776637897806
PSMD11,36.536761886966204,11.03270841643298,0.3019618555843803
PIAS1,88.81890081369323,26.829566814245297,0.3020704666287536
RAB3GAP1,24.72570247424116,7.47036808484854,0.3021296601231471
CERS5,36.502439802760804,11.02858786383754,0.3021328964154174
MLX,71.6785318855865,21.664050811321538,0.3022390420314658
TXNL1,33.64379148669725,10.173691420477804,0.30239431915693804
DDX23,79.94796951390674,24.183746613086434,0.3024935687563614
GAK,145.11690301225,43.90341853582374,0.30253828206434125
DCAF15,55.037959690973814,16.653980789534174,0.3025908097437234
TAOK3,54.88330144527754,16.608781969427472,0.30261995055067126
SLC10A3,38.16340965878868,11.549175817304281,0.302624317915069
ANXA7,71.30071117499189,21.594234870600033,0.302861423325803
XRCC1,29.734311959845712,9.005557051991683,0.3028675109130863
PPP3R1,73.20040380043972,22.172887512369204,0.3029066283953479
TBC1D10B,98.56159413556105,29.86709300761058,0.3030297274466924
RETREG3,69.92482769436829,21.194575908885795,0.30310515746315947
AP5Z1,86.72959242446608,26.29777688581136,0.303215732377786
BRD2,250.5276431161352,76.0034249917137,0.30337340840460214
