gene,train_std,hdr90_coverage
LRRC47,0.5481860688308092,0.94
CEP104,0.528960272050608,0.88
DFFB,0.6369676113546392,0.92
C1orf174,0.6939414132998125,0.88
LINC01134,0.5764117611087609,0.92
ENSG00000300565,0.8600251084289661,0.82
ENSG00000287586,0.9563401802238533,0.92
NPHP4,0.5428964114735024,0.96
KCNAB2,0.5420625922673763,0.94
RPL22,0.8642809166904235,0.86
RNF207,0.7393696475391851,0.86
ICMT,0.646123829758504,0.88
GPR153,1.0193929300884657,0.88
ACOT7,1.0030045206636375,0.96
ESPN,1.4245296122375284,0.9
TNFRSF25,1.2126085438027876,0.92
PLEKHG5,0.7487138050205582,0.8
NOL9,0.6958187997148321,0.9
ZBTB48,0.41934458662661533,0.86
KLHL21,0.8145106652712492,0.84
PHF13,0.7705876724522978,0.86
THAP3,0.4827087869409087,0.9
DNAJC11,0.6892794519167134,0.88
CAMTA1,0.47869502861809166,0.88
VAMP3,0.46845558221128336,0.88
ENSG00000269925,0.3557252130373923,0.84
PER3,0.6632680054690768,0.9
UTS2,0.8261117567177705,0.96
TNFRSF9,0.9419536773993669,0.9
PARK7,0.4697467463693319,0.96
ENSG00000284747,0.3372932038512128,0.94
ERRFI1,1.3644767090287826,0.94
SLC45A1,0.34260434645134313,0.82
RERE,0.813639360878441,0.86
RERE-AS1,1.0036446352738975,0.96
ENO1,0.6242756279601339,0.86
ENSG00000310107,0.43886248203595357,0.84
SLC2A5,1.4960897484373101,0.9
GPR157,0.6224607614327454,0.86
H6PD,0.8202664735044369,0.9
SPSB1,0.6246273783160181,0.94
SLC25A33,0.5186065295926612,0.92
TMEM201,0.7194813314018926,0.9
PIK3CD,0.7507457970772637,0.92
PIK3CD-AS1,1.0741005444488212,0.92
CLSTN1,1.010941855927038,0.9
CTNNBIP1,0.4852419535359127,0.92
LZIC,0.5981813661176042,0.84
NMNAT1,1.034062714072019,0.9
RBP7,1.054938184408609,0.94
UBE4B,0.4451266111399759,0.9
KIF1B,0.7900482601580636,0.94
ENSG00000284735,0.5687270481634094,0.9
ENSG00000284642,0.7430142080653277,0.98
PGD,0.9990421753811715,0.92
CENPS,0.39678282590707487,0.84
DFFA,0.5528635771421666,0.9
PEX14,0.7101117944369315,0.84
CASZ1,0.7262056272345568,0.92
ENSG00000272078,0.8167652388979909,0.82
TARDBP,0.5605120736606811,0.88
MASP2,0.671665091029215,0.86
SRM,0.7496670684357502,0.96
EXOSC10-AS1,0.7106024936019986,0.9
EXOSC10,0.7398062329778662,0.92
MTOR,0.6441386129641447,0.88
UBIAD1,0.6646453822204799,0.92
FBXO2,0.9222057268667995,0.96
FBXO44,0.9859485237042726,0.94
MAD2L2,0.4901898470818982,0.86
FBXO6,0.6067898840178524,0.9
DRAXIN,0.9980424832002562,0.96
ENSG00000305789,0.7093288103855677,0.96
AGTRAP,1.0167437194737972,0.9
MTHFR,0.5879748928646517,0.92
CLCN6,0.7241655157621115,0.84
NPPA,0.7844624827559712,0.88
ENSG00000285646,0.3888251282293516,0.9
KIAA2013,0.9138187045151921,0.86
PLOD1,0.6483565516122318,0.86
MFN2,0.6329886619498881,0.92
MIIP,0.5024859973345659,0.96
TNFRSF8,0.8061566918677836,0.94
TNFRSF1B,0.7476790638993409,0.94
